,count,mean,std,min,25%,50%,75%,max
impressions_48h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_48h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_48h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_72h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_72h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_72h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_72h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_96h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_96h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_96h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_96h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_120h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_120h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_120h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_120h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_144h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_144h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_144h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_144h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_168h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_168h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
likes_168h,16565.0,401.76413120032197,1554.5692643125692,0.0833333333333333,18.083333333333332,64.08333333333333,230.91666666666663,81572.08333333333
comments_168h,16120.0,22.11790736145575,109.17644357194656,0.0833333333333333,0.9166666666666666,3.0833333333333335,10.75,6349.5
views_672h,16572.0,22053.568871188352,86528.6297584496,0.1666666666666666,1030.2291666666665,3339.875,12291.229166666666,4185248.6666666665
impressions_672h,16570.0,37538.64320559243,138816.0688589444,416.8333333333333,2348.6875,6948.041666666666,23206.895833333336,6706933.166666667
